Geographic name,percent elderly 65+ 2016,percent elderly 85+ 2016,percent elderly 65+ 2011,percent elderly 85+ 2011,Latitude,Longitude,predicted 65+,predicted 85+
Mount Pearl,17.708333333333336,2.0416666666666665,13.11861743912019,1.6889238020424195,47.521458,-52.80912,19.544219691018725,2.182763812516356
Petty Harbour-Maddox Cove,16.145833333333336,1.0416666666666663,12.432432432432432,0.5405405405405406,47.896937,-53.078203,17.63119369369383,1.2421171171171181
Bay Bulls,13.6986301369863,0.684931506849315,8.73015873015873,0.0,47.318591,-52.817795,15.686018699717351,0.9589041095890707
Witless Bay,13.125,0.625,13.79310344827586,0.8620689655172413,47.28265,-52.829908,12.857758620689651,0.5301724137930961
Lewin's Cove,20.37037037037037,1.8518518518518516,16.666666666666664,0.0,47.092156,-55.232338,21.85185185185196,2.592592592592723
Burin,17.82608695652174,1.7391304347826086,13.636363636363637,1.2396694214876034,47.045377,-55.171509,19.501976284585226,1.9389148401006082
Lawn,15.625,0.0,11.594202898550725,0.0,46.949494,-55.538194,17.23731884057952,0.0
Lamaline,22.22222222222222,0.0,17.24137931034483,3.4482758620689653,46.858082,-55.80728,24.21455938697318,0.0
Lord's Cove,25.0,0.0,25.0,0.0,48.64847,-58.996688,25.0,0.0
Point May,25.0,0.0,16.666666666666664,0.0,52.89,-60.511,28.333333333333485,0.0
Point au Gaul,29.411764705882355,0.0,20.0,0.0,52.89,-60.511,33.176470588235134,0.0
Frenchman's Cove,29.411764705882355,0.0,21.052631578947366,0.0,47.215657,-55.402707,32.7554179566564,0.0
Fortune,26.08695652173913,1.4492753623188406,18.055555555555554,1.3888888888888888,47.072889,-55.828156,29.299516908212354,1.4734299516908216
Grand Bank,31.16883116883117,4.978354978354979,25.051759834368532,3.7267080745341614,47.096285,-55.759083,33.61565970261654,5.479013739883328
Garnish,23.89380530973451,3.5398230088495577,18.34862385321101,1.834862385321101,47.234996,-55.360264,26.111877892344182,4.2218072582610375
Winterland,15.789473684210526,0.0,17.142857142857142,2.857142857142857,47.162244,-55.298407,15.248120300751907,0.0
