Geographic name,percent elderly 65+,percent elderly 85+,Latitude,Longitude
Langley,15.82470051583749,2.0292450014920917,49.079557,-122.624002
Langley,14.885996330916399,1.458897527736525,49.079557,-122.624002
Langley,16.712465650761928,2.5647431093346653,49.079557,-122.624002
Langley,19.16167664670659,3.3030712768012367,49.079557,-122.624002
Langley,21.275018532246108,4.447739065974797,49.079557,-122.624002
Langley,16.861637757160146,2.0572811617587736,49.079557,-122.624002
Surrey,14.893779757921106,1.988641795896514,49.123471,-122.718811
Surrey,14.09372646701037,1.6296897024464654,49.123471,-122.718811
Surrey,13.280031201248049,1.263650546021841,49.123471,-122.718811
White Rock,34.01002506265664,6.040100250626566,49.028856,-122.809472
White Rock,30.824972129319956,3.901895206243032,49.028856,-122.809472
White Rock,36.520947176684885,7.741347905282331,49.028856,-122.809472
Delta,18.741135618917202,2.2595001711742553,49.154411,-122.923394
Delta,19.602763385146805,2.715409710228363,49.154411,-122.923394
Delta,17.84360662278077,1.7853580690205466,49.154411,-122.923394
Richmond,17.515677761698022,2.4505547515677764,49.169568,-123.115205
Richmond,16.363828438622438,1.6110289457004014,49.169568,-123.115205
Richmond,16.968382834955374,2.052342292370531,49.169568,-123.115205
Greater Vancouver A,9.261658031088082,1.4896373056994818,49.234408,-123.025829
Greater Vancouver A,9.699411217849397,1.8593120545398203,49.234408,-123.025829
Greater Vancouver A,10.041592394533572,2.1984551396316103,49.234408,-123.025829
Vancouver,14.320211334943195,1.711424079866457,49.234408,-123.025829
Vancouver,15.45008986753446,2.25262674489497,49.234408,-123.025829
Vancouver,16.529399015388428,2.769607084249311,49.234408,-123.025829
Burnaby,15.83639449206247,2.206182466542072,49.250658,-123.023518
Burnaby,16.799025169124754,2.617757048615488,49.250658,-123.023518
Burnaby,14.829465541490858,1.7756680731364276,49.250658,-123.023518
New Westminster,16.816236366146626,2.9545768328040865,49.187094,-122.944689
New Westminster,15.23943661971831,2.1549295774647885,49.187094,-122.944689
New Westminster,13.585393904542842,1.3225991949396205,49.187094,-122.944689
Coquitlam,14.775446994227792,2.013233844854287,49.282764,-122.808394
Coquitlam,13.01736136546773,1.1354479525309502,49.282764,-122.808394
Coquitlam,13.913917507269268,1.583085041461751,49.282764,-122.808394
Belcarra,22.727272727272727,0.0,49.316698,-122.925665
Belcarra,25.396825396825395,0.0,49.316698,-122.925665
Belcarra,24.21875,0.78125,49.316698,-122.925665
Anmore,9.45945945945946,0.45045045045045046,49.313678,-122.876919
Anmore,8.636363636363637,0.45454545454545453,49.313678,-122.876919
Anmore,8.823529411764707,0.4524886877828055,49.313678,-122.876919
Port Coquitlam,11.774861878453038,1.0013812154696133,49.260743,-122.747816
Port Coquitlam,13.693086003372681,1.736930860033727,49.260743,-122.747816
Port Coquitlam,12.745265313086504,1.3734857532844225,49.260743,-122.747816
Port Moody,12.160953800298063,0.9687034277198211,49.27903,-122.833695
Port Moody,12.48913358446827,1.1590843233845263,49.27903,-122.833695
Port Moody,11.813439705431113,0.7671064743786438,49.27903,-122.833695
North Vancouver,17.519055099784723,2.478617559783557,49.308708,-123.057225
North Vancouver,18.4582344297502,2.9953656606759353,49.308708,-123.057225
North Vancouver,16.522781774580338,1.9304556354916065,49.308708,-123.057225
North Vancouver,14.385196975726226,1.532033426183844,49.308708,-123.057225
North Vancouver,16.10738255033557,2.155213158143492,49.308708,-123.057225
North Vancouver,17.666126418152352,2.7012425715829282,49.308708,-123.057225
West Vancouver,26.539923954372625,4.030418250950571,49.335899,-123.182385
